matchNumber,alliance,scouterInitials,selectTeam,startPoses0,startPoses1,startPoses2,startPoses3,startPoses4,startPoses5,autoCoralPlaceL1Count,autoCoralPlaceL2Count,autoCoralPlaceL3Count,autoCoralPlaceL4Count,autoCoralPlaceDropMissCount,autoCoralPickPreloadCount,autoCoralPickStationCount,autoCoralPickMark1Count,autoCoralPickMark2Count,autoCoralPickMark3Count,autoAlgaePlaceNetShot,autoAlgaePlaceProcessor,autoAlgaePlaceDropMiss,autoAlgaePickReefCount,autoAlgaePickMark1Count,autoAlgaePickMark2Count,autoAlgaePickMark3Count,autoPassedStartLine,teleopCoralPlaceL1Count,teleopCoralPlaceL2Count,teleopCoralPlaceL3Count,teleopCoralPlaceL4Count,teleopCoralPlaceDropMissCount,teleopCoralPickStationCount,teleopCoralPickCarpetCount,teleopAlgaePlaceNetShot,teleopAlgaePlaceProcessor,teleopAlgaePlaceDropMiss,teleopAlgaePickReefCount,teleopAlgaePickCarpetCount,shallowClimbAttempted,deepClimbAttempted,parkAttempted,climbFailed,playedDefense,brokeDown,comment
35,blueAlliance,LB,1218,false,false,false,true,false,false,0,0,0,1,2,1,2,0,0,0,0,0,1,1,0,0,0,true,1,0,0,2,2,5,0,0,2,1,1,2,false,true,false,false,false,false,
36,blueAlliance,LB,1089,false,false,false,true,false,false,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,true,0,5,5,1,0,11,0,0,0,2,2,0,false,true,false,false,false,false,
37,blueAlliance,LB,1807,false,false,true,false,false,false,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,true,1,2,5,3,0,11,0,0,0,0,0,0,false,true,false,false,false,false,
38,blueAlliance,LB,102,false,false,false,true,false,false,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,true,0,0,2,4,5,11,0,0,0,0,0,0,false,false,true,false,false,false,
39,blueAlliance,LB,708,false,false,true,false,false,false,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,true,1,0,3,2,1,7,0,0,1,1,2,0,false,true,false,false,false,false,
40,blueAlliance,WYYY,2720,false,false,false,false,true,false,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,true,0,1,1,1,2,5,0,0,0,0,0,0,false,true,false,false,false,false,
41,blueAlliance,WYYY,2607,false,false,false,false,true,false,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,true,0,6,6,3,0,15,0,0,0,0,0,0,false,true,false,false,false,false,
42,blueAlliance,WYYY,1218,false,true,false,false,false,false,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,true,0,3,5,3,0,11,0,0,0,0,0,0,false,true,false,false,false,false,
43,blueAlliance,WYYY,365,false,true,false,false,false,false,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,true,0,1,7,2,2,12,0,0,0,5,5,0,false,true,false,false,false,false,
44,blueAlliance,WYYY,56,true,false,false,false,false,false,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,7,0,7,0,0,0,2,2,0,false,false,true,false,false,false,
45,blueAlliance,MTAT,3314,true,false,false,false,false,false,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,true,0,0,4,4,0,8,0,2,0,1,3,0,false,true,false,false,false,false,
46,blueAlliance,MTAT,5401,false,false,true,false,false,false,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,true,0,0,0,0,0,0,0,9,1,0,6,4,false,false,true,false,false,false,THERE WASNT ANY ALGAE ON THE FIELD WHEN THEY WERE DONE IT WAS ALL ON THE BARGE😨
48,blueAlliance,MTAT,11,false,false,true,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,1,0,1,0,0,2,0,2,0,false,false,true,false,true,false,coral got stuck in their bot
47,blueAlliance,MTAT,6808,false,false,false,false,true,false,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,5,2,7,0,0,0,0,0,0,false,false,true,false,false,false,
49,blueAlliance,JP,2590,false,true,false,false,false,false,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,true,2,3,1,6,1,13,0,0,0,0,0,0,false,true,false,false,false,false,"Difficulty scoring L4s, but they bounced into L1 luckily.  Overall solid robot"
50,blueAlliance,EL,3142,false,false,false,false,true,false,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,true,3,1,5,0,1,10,0,0,0,0,0,0,false,true,false,false,false,false,
51,blueAlliance,EL,316,false,true,false,false,false,false,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,true,0,4,1,4,1,10,0,4,1,0,3,2,false,false,true,false,false,false,
